,Crp_Filepath,clutch,Day,egg_number,sex
68,Cropped_Egg_images/Clutch2_D18/IMG_0029.JPG,2,18,28,Male
69,Cropped_Egg_images/Clutch2_D18/IMG_0030.JPG,2,18,29,Female
70,Cropped_Egg_images/Clutch2_D18/IMG_0033.JPG,2,18,32,Male
71,Cropped_Egg_images/Clutch2_D18/IMG_0034.JPG,2,18,33,Female
72,Cropped_Egg_images/Clutch2_D18/IMG_0035.JPG,2,18,34,Female
73,Cropped_Egg_images/Clutch2_D18/IMG_0036.JPG,2,18,35,Female
74,Cropped_Egg_images/Clutch2_D18/IMG_0037.JPG,2,18,36,Male
75,Cropped_Egg_images/Clutch2_D18/IMG_0038.JPG,2,18,37,Male
76,Cropped_Egg_images/Clutch2_D18/IMG_0039.JPG,2,18,38,Female
77,Cropped_Egg_images/Clutch2_D18/IMG_0040.JPG,2,18,39,Male
78,Cropped_Egg_images/Clutch2_D18/IMG_0042.JPG,2,18,41,Male
79,Cropped_Egg_images/Clutch2_D18/IMG_0043.JPG,2,18,42,Male
80,Cropped_Egg_images/Clutch2_D18/IMG_0046.JPG,2,18,45,Female
81,Cropped_Egg_images/Clutch2_D18/IMG_0047.JPG,2,18,46,Male
82,Cropped_Egg_images/Clutch2_D18/IMG_0050.JPG,2,18,49,Male
83,Cropped_Egg_images/Clutch2_D18/IMG_0052.JPG,2,18,51,Female
84,Cropped_Egg_images/Clutch2_D18/IMG_0053.JPG,2,18,52,Female
85,Cropped_Egg_images/Clutch2_D18/IMG_0055.JPG,2,18,54,Male
86,Cropped_Egg_images/Clutch2_D18/IMG_0056.JPG,2,18,55,Female
87,Cropped_Egg_images/Clutch2_D18/IMG_0057.JPG,2,18,56,Female
88,Cropped_Egg_images/Clutch2_D18/IMG_0058.JPG,2,18,57,Female
89,Cropped_Egg_images/Clutch2_D18/IMG_0059.JPG,2,18,58,Male
90,Cropped_Egg_images/Clutch2_D18/IMG_0062.JPG,2,18,61,Male
91,Cropped_Egg_images/Clutch2_D18/IMG_0063.JPG,2,18,62,Female
92,Cropped_Egg_images/Clutch2_D18/IMG_0066.JPG,2,18,65,Male
93,Cropped_Egg_images/Clutch2_D18/IMG_0067.JPG,2,18,66,Male
